"principalsalesrep","customersoldto","customershipto","salesrepid"
"E101","0030070570","0070090977","jnto"
"E101","0030070570","0070090977","jsteoh"
"E101","0030070570","0070090977","khwang"
"E101","0030070570","0070090977","mayhan"
"E101","0030070570","0070090977","mcting"
"E101","0030070570","0070090977","nchew"
"E101","0030070570","0070090977","nfoo"
"E101","0030070570","0070090977","nimnordin"
"E101","0030070570","0070090977","pelng"
"E101","0030070570","0070090977","raclee"
"E101","0030070570","0070090977","sctan"
"E101","0030070570","0070090977","senhong"
"E101","0030070570","0070090977","stcheah"
"E101","0030070570","0070090977","wkhoo"
"E101","0030070570","0070090977","wltang"
"E101","0030070570","0070090977","wmteng"
